Total merchandise	5934153349.519488	2904968400.549199
Agricultural products	434168781.41868645	93771904.63806106
Food	354837460.90487057	74935191.2896172
Manufactures	3232747325.674602	646729530.256411
Textiles	78265004.0396142	17044131.216443263
Fuels and mining products	734886839.3208431	155883695.9960241
Chemicals	518641054.6700143	99265149.02126695
Fuels	549229812.2211851	112874434.85704286
Fish	31875075.844371896	0
Other food products	292174684.9533114	0
Raw materials	70887741.26458196	0
Other chemicals	349683346.9160715	0
Pharmaceuticals	136547672.0745639	23489497.674800042
Clothing	111787844.68329675	26723495.256901346
Iron and steel	120352403.65169033	24256308.769030605
Machinery and transport equipment	1684650197.0889664	298997438.6310119
Automotive products	383937313.2851564	72750985.08561897
Office and telecom equipment	537557430.4340389	101482990.38477
Other machinery	531812983.7512289	0
Electronic data processing and office equipment	171307718.5549233	28911965.917632043
Integrated circuits and electronic components	174287107.86767447	22660931.563356973
Telecommunications equipment	178774657.61636993	31101598.678655963
Transport equipment	550665819.5955209	86164245.07924987
Other transport equipment	168331213.7935402	0
Other manufactures	359057864.2900597	0
Miscellaneous manufactures	189963976.9862207	0
Personal and household goods	73632152.605059	0
Scientific and controlling instruments	95461714.75312911	0
Other semi-manufactures	268771507.1861482	0
Non-ferrous metals	87380642.61387488	0
Ores and other minerals	77596737.17305781	0
